Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Continent,Renewable-electricity-generating-capacity-per-capita_normalized,Primary energy consumption per capita (kWh/person)_normalized
Mongolia,2020,98.1,51.8,84.37,,,6.04,0.0,0.68,10.119048,20376.916,,,,-4.557751973,4060.950518,2,1564116.0,46.862496,103.846656,Asia,2.7858733651869914,11.069925143376684
Montenegro,2020,100.0,62.4,,,,1.62,0.0,1.77,52.212387,17942.342,,,,-15.30689376,7677.152226,47,13812.0,42.708678,19.37439,Europe,,9.747323041271972
Morocco,2020,100.0,98.1,93.52,,,31.36,0.0,7.02,18.290775,6551.4155,,,7.633952,-6.29325316,3058.691689,83,446550.0,31.791702,-7.09262,Africa,3.088218772510689,3.5591096890303584
Mozambique,2020,30.603832,5.1,73.99,,,3.49,0.0,15.85,81.9545,2248.653,,,,-1.233905711,448.5442807,40,799380.0,-18.665695,35.529562,Africa,2.442884804747649,1.2215990085756554
Myanmar,2020,70.397194,31.25,63.36,,,12.25,0.0,11.31,48.005093,3183.1047,,,,3.1737744,1467.604281,83,676578.0,21.916221,95.955974,,2.0916354408295166,1.7292474853667992
Namibia,2020,56.258694,46.8,197.35,,,0.06,0.0,1.89,96.92307,8960.352,,,,-8.500149038,4179.278066,3,824292.0,-22.95764,18.49041,Africa,6.519095673321569,4.86778401100076
Nauru,2020,100.0,100.0,179.71,,,0.04,0.0,0.0,0.0,21142.482,,,,1.149425287,10580.26819,541,21.0,-0.522778,166.931503,Oceania,5.936213379858178,11.485825091745431
Nepal,2020,89.9,34.8,46.78,,,0.0,0.0,6.33,100.0,1677.7975,,,,-2.088378695,1155.142854,203,147181.0,28.394857,84.124008,Asia,1.543778954116193,0.9114771210100949
Netherlands,2020,100.0,100.0,,,,85.95,4.09,32.75,30.002443,56705.54,,,10.758958,-3.798635993,52397.11671,508,41543.0,52.132633,5.291266,Europe,,30.80574523714738
New Caledonia,2020,100.0,,697.36,,,2.73,0.0,0.42,13.333333,74262.35,,,,,,16,19060.0,-20.904305,165.618042,,23.041033063039844,40.34362488765422
New Zealand,2020,100.0,100.0,,,,8.42,0.0,34.77,80.504745,47384.516,,,39.064182,1.862851533,41441.46667,18,268838.0,-40.900557,174.885971,Oceania,,25.74202323232499
Nicaragua,2020,88.90738,56.2,110.41,,,2.0,0.0,2.42,54.75113,4237.677,,,,-1.977329393,1905.261152,55,130370.0,12.865416,-85.207229,North America,3.646318655537712,2.302152453875212
Niger,2020,19.25191,2.4,1.12,,,0.38,0.0,0.05,11.627907,442.419,,,,3.580006403,567.6698923,19,1267000.0,17.607789,8.081666,Africa,0.035025806750067744,0.24034771562132215
Nigeria,2020,55.4,15.0,10.44,,,21.98,0.0,7.75,26.067945,2445.0652,,,,-1.794253082,2097.092473,226,923768.0,9.081999,8.675277,Africa,0.3429885604393425,1.3283015317271436
North Macedonia,2020,100.0,78.1,,,,3.86,0.0,1.48,27.715355,12822.86,,,14.441304,-5.208444057,5917.262575,83,25713.0,41.608635,21.745275,,,6.966122858041872
Norway,2020,100.0,100.0,,,,2.2,0.0,152.09,98.57412,103888.89,,,70.96306,-0.717182669,67329.67779,15,323802.0,60.472024,8.468946,Europe,,56.43848340585467
Oman,2020,100.0,100.0,31.08,,,34.21,0.0,0.13,0.37856728,79038.305,,,0.2240027,-3.20093599,14485.38612,16,309500.0,21.4735329,55.975413,Asia,1.0250004956482086,42.93820123758546
Pakistan,2020,75.37969,49.3,56.17,,,84.55,9.64,42.69,38.230564,4301.192,,,12.021025,-0.935389533,1188.859757,287,796095.0,30.375321,69.345116,Asia,1.854054732779529,2.33665749357217
Panama,2020,96.704636,87.6,532.13,,,2.7,0.0,8.35,75.56561,27640.848,,,,-17.944864,12509.83529,58,75420.0,8.537981,-80.782127,North America,17.581302827838247,15.016115208967499
Papua New Guinea,2020,60.4,9.4,37.26,,,3.36,0.0,1.28,27.586208,2163.8704,,,,-3.5,2757.21753,20,462840.0,-6.314993,143.95555,Oceania,1.2292075576438866,1.17554017241709
Paraguay,2020,100.0,68.6,1238.3,,,0.07,0.0,46.43,99.849464,18493.115,,,,-0.565695447,5001.07276,18,406752.0,-23.442503,-58.443832,South America,40.91542919830554,10.046534947577765
Peru,2020,99.31181,85.1,201.09,,,19.1,0.0,33.72,63.839455,8365.432,,,30.744228,-11.14881188,6126.87454,26,1285216.0,-9.189967,-75.015152,South America,6.642677293364262,4.54458888832873
Philippines,2020,96.842384,48.0,62.39,,,79.27,0.0,23.21,22.648321,4565.3384,,,11.04473,-9.573029875,3298.829586,368,300000.0,12.879721,121.774017,Asia,2.0595835233318134,2.480157171094148
